data_publikacji,zamawiajacy,sektor,rodzaj_zamowienia,dotyczy_ai,przedmiot,zrodlo,url
2026-07-30,"Epartner Kursy <mark>Językowe</mark> Spółka z ograniczoną odpowiedzialnością.",firma_prywatna,szkolenie,0,"„Usługi włączające dla osób w kryzysie”",bazakonk,https://bazakonkurencyjnosci.funduszeeuropejskie.gov.pl/ogloszenia/286948
2026-07-30,"Gmina Baranów",samorzad,uslugi_it,0,"Przegląd, aktualizacja SZBI, opracowanie i wdrożenie SZBI oraz audyt SZBI dla Gminy Baranów.",bazakonk,https://bazakonkurencyjnosci.funduszeeuropejskie.gov.pl/ogloszenia/286962
2026-07-30,"Gmina Domaszowice",samorzad,uslugi_it,0,"Przygotowanie, wdrożenie SZBI, testowanie bezpieczeństwa infrastruktury sieciowej oraz szkolenia pracowników z cyberbezpieczeństwa w ramach projektu ""Cyberbezpieczny Samorząd"".",bazakonk,https://bazakonkurencyjnosci.funduszeeuropejskie.gov.pl/ogloszenia/286888
2026-07-30,"Gmina Miasto Płock",samorzad,inne,0,"Priorytet III Fundusze Europejskie na rozwój mobilności miejskiej na Mazowszu, Działanie 3.1 Mobilność miejska. Tytuł projektu: „Budowa i przebudowa infrastruktury transportu publicznego na terenie miasta Płocka”",bazakonk,https://bazakonkurencyjnosci.funduszeeuropejskie.gov.pl/ogloszenia/286856
2026-07-30,"Hodowla Ryb Dariusz Skiba",firma_prywatna,inne,0,"Wzrost zdolności produkcyjnych obiektu hodowli pstrąga w Dąbrówce",bazakonk,https://bazakonkurencyjnosci.funduszeeuropejskie.gov.pl/ogloszenia/286826
2026-07-30,"HugeTECH Spółka z Ograniczoną Odpowiedzialnością",firma_prywatna,badania_rd,0,"Przygotowanie merytorycznych analiz dla startupów Platformy startowej HugeTECH Revolution — z podziałem na części – projekt FEPW.01.01-IP.01-0010/23",bazakonk,https://bazakonkurencyjnosci.funduszeeuropejskie.gov.pl/ogloszenia/286865
2026-07-30,"ICD MACIEJ SORDYL",firma_prywatna,inne,0,"Dostawa, montaż i uruchomienie fabrycznie nowego samochodowego diagnostycznego podnośnika czterokolumnowego do obsługi i serwisowania samochodów osobowych i dostawczych o udźwigu minimum 5500 kg.",bazakonk,https://bazakonkurencyjnosci.funduszeeuropejskie.gov.pl/ogloszenia/286920
2026-07-30,"KINESIS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",firma_prywatna,badania_rd,0,"Wdrożenie innowacji w efekcie działań wzorniczych w przedsiębiorstwie Kinesis sp. z o. o.",bazakonk,https://bazakonkurencyjnosci.funduszeeuropejskie.gov.pl/ogloszenia/286928
2026-07-30,"M.A.S. Sp. z o.o.",firma_prywatna,inne,0,"ZAPYTANIE OFERTOWE nr 10_FESW_2026 z dnia 30.07.2026 r. na zakup i dostawę komponentów stanowisk badawczych. W związku z realizacją projektu pn. „Pasteurisation Energy Optimizer PEnO – system odzysku ciepła procesów przetwórstwa żywności i zasilania energetycznego procesów pasteryzacji oparty na innowacyjnej wysokotemperaturowej pompie ciepła zintegrowanej z magazynem ciepła wykorzystującym zjawiska przemian fazowych” w ramach Działania 1.2 „Wsparcie działalności przedsiębiorstw w zakresie B+R” Priorytet 1 „Fundusze Europejskie dla konkurencyjnej gospodarki” Programu Fundus",bazakonk,https://bazakonkurencyjnosci.funduszeeuropejskie.gov.pl/ogloszenia/286393
2026-07-30,"MARDOM SP.Z O.O.",firma_prywatna,inne,0,"ZAPYTANIE OFERTOWE nr 4/FELD0102/2026 na dostawę stanowiska badawczo-rozwojowe do napylania powłok – 1 szt.",bazakonk,https://bazakonkurencyjnosci.funduszeeuropejskie.gov.pl/ogloszenia/286912
2026-07-30,"MARKIEWICZ CLINIC Spółka z ograniczoną odpowiedzialnością",szpital_zdrowie,inne,0,"ZAPYTANIE OFERTOWE nr 3/2026 dotyczące nabycia materiałów dla firmy MARKIEWICZ CLINIC Spółka z ograniczoną odpowiedzialnością Umowa nr: FEPM.01.01-IP.03-0006/25-00",bazakonk,https://bazakonkurencyjnosci.funduszeeuropejskie.gov.pl/ogloszenia/286860
2026-07-30,"Parafia Rzymskokatolicka P. W. Zesłania Ducha Świętego w Parszowie",inne,inne,0,"Termomodernizacja zabytkowego budynku parafialnego w Parafii Rzymskokatolickiej P.W. Zesłania Ducha Świętego w Parszowie",bazakonk,https://bazakonkurencyjnosci.funduszeeuropejskie.gov.pl/ogloszenia/286806
2026-07-30,"Rejonowe Przedsiębiorstwo Wodociągów i Kanalizacji w Tychach Spółka Akcyjna",spolka_komunalna,uslugi_it,0,"Dostawa i wdrożenie zintegrowanego systemu ochrony sieci klasy UTM/NGFW - Woda w Cyfrowym żywiole –Transformacja cyfrowa w RPWiK Tychy S.A.",bazakonk,https://bazakonkurencyjnosci.funduszeeuropejskie.gov.pl/ogloszenia/286884
